category,name,address,website
cafe,Tasso,"Frankfurter Allee 11. 10247 Berlin",https://www.cafe-tasso.de/
cafe,Banana calling,"Bouchestr. 15. 12435 Berlin",https://www.facebook.com/bananacallingcafe/
cafe,Brammibal's Donuts,"Maybachufer 8. 12047 Berlin",https://www.brammibalsdonuts.com/
cafe,the boat kaffee,"Falckensteinstr. 33. 10997 Kreuzberg Berlin",http://www.theboatkaffee.com/
